report_month,report_year,report_quarter,system,users_total,transactions_total,transaction_value_jod,user_jordanian_count,user_non_jordanian_count,user_male_count,user_female_count,user_age_under_30_count,user_age_31_50_count,user_age_51_plus_count,customer_individual_count,customer_legal_entity_count,wallet_individual_count,wallet_commercial_count,user_existing_count,user_new_count,tx_purchases_count,tx_money_transfers_count,tx_cash_out_count,tx_cash_in_count,value_purchases_jod,value_money_transfers_jod,value_cash_out_jod,value_cash_in_jod,on_us_money_transfer_count,off_us_money_transfer_count,on_us_money_transfer_value_jod,off_us_money_transfer_value_jod,billers_total,services_total,ef_cash_payment_count,ef_digital_payment_count,ef_cash_payment_value_jod,ef_digital_payment_value_jod,ach_jod_transaction_count,ach_usd_transaction_count,ach_usd_transaction_value,ach_eur_transaction_count,ach_eur_transaction_value,ach_gbp_transaction_count,ach_gbp_transaction_value,returned_cheque_count,returned_cheque_value_jod,returned_cheque_count_rate_pct,returned_cheque_value_rate_pct,activity_level
2023-04,2023,Q2,ACH,0,893000,673000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,888000,5007,27000000,201,1600000,35,420000,0,0,0,0,Low Activity
2023-04,2023,Q2,CliQ,721000,1770000,306000000,627600,34400,414000,239000,247000,269000,88000,713000,7200,0,0,0,0,154700,1600000,0,0,37200000,268800000,0,0,300000,980000,40000000,196000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low Activity
2023-04,2023,Q2,ECCU,0,456000,3042000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14600,95000000,3.2,3.1,Low Activity
2023-04,2023,Q2,JoMoPay,1880000,1730000,204000000,1580000,230000,1010000,790000,611000,745000,302000,0,0,2180000,6790,0,0,38000,1509000,103000,78000,2400000,170100000,18700000,12700000,630000,530000,52900000,45100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low Activity
2023-04,2023,Q2,eFAWATEERcom,3780000,3480000,991000000,0,0,0,0,0,0,0,0,0,0,0,3760000,28000,0,0,0,0,0,0,0,0,0,0,0,0,461,1387,640000,2830000,142100000,848700000,0,0,0,0,0,0,0,0,0,0,0,Normal Activity
2023-05,2023,Q2,ACH,0,931000,757000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,925000,5716,37000000,387,2900000,47,520000,0,0,0,0,Normal Activity
2023-05,2023,Q2,CliQ,768000,2100000,367000000,671300,37200,439000,259000,263000,287000,94000,758000,9100,0,0,0,0,203700,1900000,0,0,50500000,316500000,0,0,370000,1140000,48000000,230000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low Activity
2023-05,2023,Q2,ECCU,0,678000,3770000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23300,130000000,3.4,3.4,High Activity
2023-05,2023,Q2,JoMoPay,1930000,2030000,245000000,1600000,240000,1020000,820000,627000,760000,309900,0,0,2240000,6835,0,0,39000,1773000,125000,94000,2700000,202400000,24200000,15400000,740000,630000,63300000,52100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low Activity
2023-05,2023,Q2,eFAWATEERcom,3800000,4550000,1074000000,0,0,0,0,0,0,0,0,0,0,0,3790000,32000,0,0,0,0,0,0,0,0,0,0,0,0,469,1426,930000,3610000,171200000,902400000,0,0,0,0,0,0,0,0,0,0,0,Normal Activity
2023-06,2023,Q2,ACH,0,890000,702000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,886000,4475,27000000,282,3100000,45,410000,0,0,0,0,Low Activity
2023-06,2023,Q2,CliQ,810000,2300000,399000000,709900,39700,461000,276000,277000,303000,99000,799000,9800,0,0,0,0,232700,2000000,0,0,58100000,340800000,0,0,390000,1230000,54000000,246000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low Activity
2023-06,2023,Q2,ECCU,0,458000,2960000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13800,95000000,3,3.2,Low Activity
2023-06,2023,Q2,JoMoPay,1960000,2070000,249000000,1640000,250000,1030000,850000,640000,772000,315000,0,0,2290000,6874,0,0,57000,1804000,130000,80000,2900000,208100000,23900000,14700000,760000,630000,64700000,53400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low Activity
2023-06,2023,Q2,eFAWATEERcom,3800000,3650000,750000000,0,0,0,0,0,0,0,0,0,0,0,3810000,28000,0,0,0,0,0,0,0,0,0,0,0,0,470,1527,750000,2890000,133100000,616500000,0,0,0,0,0,0,0,0,0,0,0,Low Activity
2023-07,2023,Q3,ACH,0,867000,725000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,861000,5394,35000000,295,2600000,55,610000,0,0,0,0,Low Activity
2023-07,2023,Q3,CliQ,882000,2600000,461000000,777900,42500,494000,308000,309000,327000,109000,871000,10000,0,0,0,0,281400,2300000,0,0,72000000,389000000,0,0,440000,1350000,61000000,279000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low Activity
2023-07,2023,Q3,ECCU,0,654000,3750000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24000,135000000,3.7,3.6,High Activity
2023-07,2023,Q3,JoMoPay,2000000,2180000,263000000,1670000,260000,1050000,880000,655000,789000,321000,0,0,2360000,6956,0,0,68900,1895000,118000,94100,3400000,219600000,23600000,16200000,780000,670000,66700000,54500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low Activity
2023-07,2023,Q3,eFAWATEERcom,3900000,4780000,1067000000,0,0,0,0,0,0,0,0,0,0,0,3860000,34000,0,0,0,0,0,0,0,0,0,0,0,0,480,1566,960000,3820000,175900000,890900000,0,0,0,0,0,0,0,0,0,0,0,Normal Activity
2023-08,2023,Q3,ACH,0,926000,742000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,920000,5307,36000000,326,3100000,53,490000,0,0,0,0,Normal Activity
2023-08,2023,Q3,CliQ,970000,3000000,524000000,861500,45900,539000,344000,340000,361000,124000,959000,12000,0,0,0,0,335700,2600000,0,0,84000000,439000000,0,0,510000,1550000,70000000,314000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low Activity
2023-08,2023,Q3,ECCU,0,603000,3680000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17700,100000000,2.9,2.72,High Activity
2023-08,2023,Q3,JoMoPay,2040000,2580000,309000000,1700000,260000,1060000,910000,670000,807000,329000,0,0,2420000,7037,0,0,54600,2300000,144000,95600,2900000,262200000,27300000,16300000,960000,790000,84900000,66000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal Activity
2023-08,2023,Q3,eFAWATEERcom,3900000,4830000,985000000,0,0,0,0,0,0,0,0,0,0,0,3890000,41000,0,0,0,0,0,0,0,0,0,0,0,0,484,1586,1050000,3790000,167600000,817500000,0,0,0,0,0,0,0,0,0,0,0,Normal Activity
2023-09,2023,Q3,ACH,0,742000,618000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,737000,4419,28000000,260,2500000,34,350000,0,0,0,0,Low Activity
2023-09,2023,Q3,CliQ,1010000,3040000,515000000,899400,48400,558000,362000,357000,375000,129000,999000,13000,0,0,0,0,339700,2700000,0,0,81900000,432900000,0,0,520000,1580000,70000000,306000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low Activity
2023-09,2023,Q3,ECCU,0,474000,3190000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13700,85000000,2.9,2.66,Normal Activity
2023-09,2023,Q3,JoMoPay,2090000,2630000,302000000,1740000,270000,1070000,930000,636000,821000,334000,0,0,2480000,6999,0,0,107000,2300000,152600,101800,3300000,252500000,27300000,18500000,970000,800000,78400000,65700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low Activity
2023-09,2023,Q3,eFAWATEERcom,3930000,4290000,920000000,0,0,0,0,0,0,0,0,0,0,0,3930000,36000,0,0,0,0,0,0,0,0,0,0,0,0,488,1611,920000,3370000,166600000,752900000,0,0,0,0,0,0,0,0,0,0,0,Low Activity
2023-10,2023,Q4,ACH,0,1040000,794000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1033000,5414,35000000,318,3200000,43,390000,0,0,0,0,Normal Activity
2023-10,2023,Q4,CliQ,1080000,3460000,579000000,1040000,33400,691000,364000,429000,471000,164000,1000000,14000,0,0,0,0,387500,3100000,0,0,93500000,485400000,0,0,580000,1820000,78000000,343000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal Activity
2023-10,2023,Q4,ECCU,0,688000,3770000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22800,147000000,3.3,3.9,High Activity
2023-10,2023,Q4,JoMoPay,2130000,2780000,323000000,1890000,246000,1100000,1000000,764000,967000,396000,0,0,2130000,6218,0,0,113000,2400000,150800,102600,3700000,271500000,27900000,20200000,920000,860000,79500000,69900000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal Activity
